Id,Number,Name,Latitude,Longitude,District,Public,Total docks
208,D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,15
,M32076,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,Cambridge,Yes,15
,B32061,One Beacon St,42.35847764,-71.0613513,Boston,Yes,16
359,B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15
72,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,Cambridge,Yes,23
91,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge,Yes,19
228,M32053,One Memorial Drive,42.36161932,-71.08043551,Cambridge,Yes,19
217,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19
,R32002,Orr Sq (Shirley Ave),42.40715656,-70.9927243,Revere,Yes,11
111,S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15
41,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27
19,A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15
345,D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19
255,C32039,Park St at Norwell St,42.29442579,-71.07821761,Boston,Yes,15
,S32046,Pearl St at Medford St,42.38815705,-71.09588742,Somerville,Yes,19
377,S32034,Perry Park,42.37927325,-71.10341903,Somerville,Yes,19
211,A32029,Piers Park,42.3650112,-71.03528559,Boston,Yes,0
115,M32029,Porter Square Station,42.387995,-71.119084,Cambridge,Yes,19
,A32050,Porzio Park,42.36411904,-71.02876782,Boston,Yes,17
48,D32012,Post Office Square,42.35585436,-71.05459746,Boston,Yes,19
102,S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,15
21,C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18
192,A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19
,L32001,Railroad Lot and Minuteman Bikeway,42.41608484,-71.15315407,Arlington,Yes,11
,R32006,Revere City Hall,42.40741,-71.0139,Revere,Yes,11
,R32007,Revere Public Library,42.408088,-71.008942,Revere,Yes,11
145,M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Cambridge,Yes,19
352,C32058,Ring Rd,42.34827839,-71.08044855,Boston,Yes,15
144,M32035,Rogers St & Land Blvd,42.36575798,-71.07699394,Cambridge,Yes,19
,C32097,Roseland St At Dorchester Ave,42.29116853,-71.0630089,Boston,Yes,15
337,C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15
341,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15
43,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15
27,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23
196,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10
12,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,18
167,C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,0
159,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15
,T32001,Salem Ferry Landing,42.52189284,-70.88069111,Salem,Yes,11
